exp_id,Temp,Press,Solvent,Time,conversion (%),ee (%),Comp._1,Comp._2,Comp._3,Comp._4,Comp._5,Mol. wt._1,Mol. wt._2,Mol. wt._3,Mol. wt._4,Mol. wt._5,mols_1,mols_2,mols_3,mols_4,mols_5,Eq. wt._1,Eq. wt._2,Eq. wt._3,Eq. wt._4,Eq. wt._5,Wt. taken_1,Wt. taken_2,Wt. taken_3,Wt. taken_4,Wt. taken_5
KK-054,50°C,20 bar,Methanol, 18 hrs,,,Dehydrositagliptin (1) ,Rh(COD)2OTf ,tBu-Josiphos ,Ammonium chloride ,--,405.30 ,468.30 ,542.45 ,53.49 ,--,1.42 mmol,0.0021 mmol,0.0022 mmol,0.0021 mmol,--,1 ,1.50x10-3 ,1.55x10-3 ,1.50x10-3 ,--,576 mg ,1 mg ,1.2 mg ,0.1 mg ,--
KK-057,50°C,20 bar,THF, 17 hrs	,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,tBu-Josiphos ,Ammonium chloride ,--,405.30 ,468.30 ,542.45 ,53.49 ,--,1.42 mmol,0.0021 mmol,0.0022 mmol,0.0021 mmol,--,1 ,1.50x10-3 ,1.55x10-3 ,1.50x10-3 ,--,576 mg ,1 mg ,1.2 mg ,0.1 mg ,--
KK-059,50°C,20 bar,methanol, 17 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L4 ,Ammonium chloride ,--,405.30 ,468.30 ,306.36 ,53.49 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0021 mmol,--,100 ,1 ,1.05 ,1 ,--,86 mg ,1 mg ,0.7 mg ,0.1 mg ,--
KK-060,50°C,20 bar,methanol, 17 hrs,20%,85%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0021 mmol,--,100 ,1 ,1.05 ,1 ,--,86 mg ,1 mg ,0.9 mg ,0.1 mg ,--
KK-061,50°C,20 bar,methanol, 17 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L1 ,Ammonium chloride ,--,405.30 ,468.30 ,496.53 ,53.49 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0021 mmol,--,100 ,1 ,1.05 ,1 ,--,86 mg ,1 mg ,1.1 mg ,0.1 mg ,--
KK-062,50°C,20 bar,methanol, 17 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0021 mmol,--,100 ,1 ,1.05 ,1 ,--,86 mg ,1 mg ,0.9 mg ,0.1 mg ,--
KK-069,90°C,20 bar,methanol, 17 hrs,90%,87%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0021 mmol,--,100 ,1 ,1.05 ,1 ,--,86 mg ,1 mg ,0.9 mg ,0.1 mg ,--
KK-070,90°C,20 bar,methanol, 17 hrs,75%,85%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0021 mmol,--,100 ,1 ,1.05 ,1 ,--,86 mg ,1 mg ,0.9 mg ,0.1 mg ,--
KK-071,80°C,20 bar,THF, 17 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,HL ,Ammonium chloride ,--,405.30 ,468.30 ,592.57 ,53.49 ,--,0.2135 µmol,0.0021 µmol,0.0022 µmol,0.0021 µmol,--,100 ,1 ,1.05 ,1 ,--,86 mg ,1 mg ,1.3 mg ,0.1 mg ,--
KK-072,80°C,20 bar,THF, 17 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,HL ,Ammonium chloride ,--,405.30 ,468.30 ,592.57 ,53.49 ,--,0.2135 µmol,0.0021 µmol,0.0022 µmol,0.0021 µmol,--,100 ,1 ,1.05 ,1 ,--,86 mg ,1 mg ,1.3 mg ,0.1 mg ,--
KK-073,80 °C,20 bar,THF, 17 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2BF4 ,HL ,Ammonium chloride ,--,405.30 ,405.07 ,592.57 ,53.49 ,--,0.2400 µmol,0.0024 µmol,0.0026 µmol,0.0024 µmol,--,100 ,1 ,1.05 ,1 ,--,97 mg ,1 mg ,1.5 mg ,0.1 mg ,--
KK-074,80°C,20 bar,THF, 17 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2BF4 ,HL ,Ammonium chloride ,--,405.30 ,405.07 ,592.57 ,53.49 ,--,0.2400 µmol,0.0024 µmol,0.0026 µmol,0.0024 µmol,--,100 ,1 ,1.05 ,1 ,--,97 mg ,1 mg ,1.5 mg ,0.1 mg ,--
KK-079,90°C,20 bar,methanol, 17 hrs,95%,80%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,--,--,100 ,1 ,1.05 ,--,--,86 mg ,1 mg ,0.9 mg ,--,--
KK-080,90°C,20 bar,methanol, 17 hrs,95%,66%,Dehydrositagliptin (1) ,Rh(COD)2BF4 ,L3 ,--,--,405.30 ,405.07 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,--,--,100 ,1 ,1.05 ,--,--,99 mg ,1.1 mg ,1 mg ,--,--
KK-081,90°C,20 bar,methanol, 17 hrs,95%,68%,Dehydrositagliptin (1) ,Rh(COD)2BF4 ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0021 mmol,--,100 ,1 ,1.05 ,1 ,--,99  mg ,1 mg ,1.1 mg ,0.1 mg ,--
KK-082,90°C,20 bar,Methanol, 17 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,tBu-Josiphos ,--,--,405.30 ,468.30 ,542.45 ,--,--,213 µmol,2.13 µmol,2.24 µmol,--,--,100 ,1 ,1.05 ,--,--,86 mg ,1 mg ,1.2 mg ,--,--
KK-095,60 °C,20 bar,DCM, 17 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,HL ,Ammonium chloride ,--,405.30 ,468.30 ,592.57 ,53.49 ,--,0.2135 µmol,0.0021 µmol,0.0022 µmol,0.0021 µmol,--,100 ,1 ,1.05 ,1 ,--,86 mg ,1 mg ,1.3 mg ,0.1 mg ,--
KK-096,60 °C,20 bar,"1,4-dioxane", 17 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,HL ,Ammonium chloride ,--,405.30 ,468.30 ,592.57 ,53.49 ,--,0.2135 µmol,0.0021 µmol,0.0022 µmol,0.0021 µmol,--,100 ,1 ,1.05 ,1 ,--,86 mg ,1 mg ,1.3 mg ,0.1 mg ,--
KK-097,60 °C,20 bar,Toluene, 17 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,HL ,Ammonium chloride ,--,405.30 ,468.30 ,592.57 ,53.49 ,--,0.2135 µmol,0.0021 µmol,0.0022 µmol,0.0021 µmol,--,100 ,1 ,1.05 ,1 ,--,86 mg ,1 mg ,1.3 mg ,0.1 mg ,--
KK-127,90 °C,20 bar,THF, 18 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,HL ,--,--,405.30 ,468.30 ,592.57 ,--,--,0.2135 µmol,0.0021 µmol,0.0022 µmol,--,--,100 ,1 ,1.05 ,--,--,86 mg ,1 mg ,1.3 mg ,--,--
KK-128,90 °C,20 bar,THF, 18 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,HL ,Ammonium chloride ,--,405.30 ,468.30 ,592.57 ,53.49 ,--,0.2135 µmol,0.0021 µmol,0.0022 µmol,0.0021 µmol,--,100 ,1 ,1.05 ,1 ,--,86 mg ,1 mg ,1.3 mg ,0.1 mg ,--
KK-135,RT,20 bar,methanol, 17 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,--,--,100 ,1 ,1.05 ,--,--,86 mg ,1 mg ,0.9 mg ,--,--
KK-136,RT,20 bar,methanol, 17 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0021 mmol,--,100 ,1 ,1.05 ,1 ,--,86 mg ,1 mg ,0.9 mg ,0.1 mg ,--
KK-137,60°C,20 bar,methanol, 18 hrs,30%,85%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,--,--,100 ,1 ,1.05 ,--,--,86 mg ,1 mg ,0.9 mg ,--,--
KK-138,60°C,20 bar,methanol, 12 hrs,30%,85%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0021 mmol,--,100 ,1 ,1.05 ,1 ,--,86 mg ,1 mg ,0.9 mg ,0.1 mg ,--
KK-139,60°C,20 bar,DCM, 18 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,--,--,100 ,1 ,1.05 ,--,--,86 mg ,1 mg ,0.9 mg ,--,--
KK-140,60°C,20 bar,THF, 18 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,--,--,100 ,1 ,1.05 ,--,--,86 mg ,1 mg ,0.9 mg ,--,--
KK-141,60°C,20 bar,TFE, 18 hrs,10%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,--,--,100 ,1 ,1.05 ,--,--,86 mg ,1 mg ,0.9 mg ,--,--
KK-142,60°C,20 bar,Toluene, 18 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,--,--,100 ,1 ,1.05 ,--,--,86 mg ,1 mg ,0.9 mg ,--,--
KK-143,60°C,20 bar,"1,4-dioxane", 18 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,--,--,100 ,1 ,1.05 ,--,--,86 mg ,1 mg ,0.9 mg ,--,--
KK-144,60°C,20 bar,Ethyl acetate, 18 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,--,--,100 ,1 ,1.05 ,--,--,86 mg ,1 mg ,0.9 mg ,--,--
KK-145,60°C,20 bar,methanol, 18 hrs,12%,69%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Acetic acid ,--,405.30 ,468.30 ,414.29 ,60.05 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0106 mmol,--,100 ,1 ,1.05 ,5 ,--,86 mg ,1 mg ,0.9 mg ,0.6 mg ,--
KK-146,60°C,20 bar,methanol, 18 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Acetic acid ,--,405.30 ,468.30 ,414.29 ,60.05 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0106 mmol,--,100 ,1 ,1.05 ,5 ,--,86 mg ,1 mg ,0.9 mg ,0.6 mg ,--
KK-147,90°C,30 bar,methanol, 18 hrs,90%,84%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Acetic acid ,--,405.30 ,468.30 ,414.29 ,60.05 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0106 mmol,--,100 ,1 ,1.05 ,5 ,--,86 mg ,1 mg ,0.9 mg ,0.6 mg ,--
KK-148,90°C,30 bar,methanol, 18 hrs,92%,70%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Acetic acid ,--,405.30 ,468.30 ,414.29 ,60.05 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0106 mmol,--,100 ,1 ,1.05 ,5 ,--,86 mg ,1 mg ,0.9 mg ,0.6 mg ,--
KK-149,90°C,30 bar,methanol, 18 hrs,99%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Phosphoric acid ,--,405.30 ,468.30 ,414.29 ,97.99 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,1.9100 mmol,--,100 ,1 ,1.05 ,9 (to substrate) ,--,86 mg ,1 mg ,0.9 mg ,188 mg ,--
KK-150,90°C,30 bar,methanol, 18 hrs,93%,63%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Acetic acid ,--,405.30 ,468.30 ,414.29 ,60.05 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0161 mmol,--,100 ,1 ,1.05 ,7.7 ,--,86 mg ,1 mg ,0.9 mg ,0.97 mg ,--
KK-151,90°C,30 bar,methanol, 18 hrs,85%,83%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Acetic acid ,--,405.30 ,468.30 ,414.29 ,60.05 ,--,24770 mmol,0.0247 mmol,0.0260 mmol,0.1238 mmol,--,100 ,1 ,1.05 ,5 ,--,1000 mg ,12 mg ,11 mg ,7 mg ,--
KK-152,60°C,20 bar,methanol, 18 hrs,12%,84%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,24770 mmol,0.0247 mmol,0.0260 mmol,--,--,100 ,1 ,1.05 ,--,--,1000 mg ,12 mg ,11 mg ,--,--
KK-153,70°C,30 bar,methanol, 24 hrs,91%,58%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,--,--,100 ,1 ,1.05 ,--,--,86 mg ,1 mg ,0.9 mg ,--,--
KK-154,70°C,30 bar,methanol, 24 hrs,87%,90%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0021 mmol,--,100 ,1 ,1.05 ,1 ,--,86 mg ,1 mg ,0.9 mg ,0.1 mg ,--
KK-155,70°C,30 bar,methanol, 24 hrs,74%,85%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Acetic acid ,--,405.30 ,468.30 ,414.29 ,60.05 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0106 mmol,--,100 ,1 ,1.05 ,5 ,--,86 mg ,1 mg ,0.9 mg ,0.6 mg ,--
KK-156,70°C,30 bar,methanol, 24 hrs,94%,88%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Phosphoric acid ,--,405.30 ,468.30 ,414.29 ,97.99 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0105 mmol,--,100 ,1 ,1.05 ,5 ,--,86 mg ,1 mg ,0.9 mg ,1.02 mg ,--
KK-157,65°C,30 bar,methanol, 24 hrs,50%,90%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,--,--,100 ,1 ,1.05 ,--,--,86 mg ,1 mg ,0.9 mg ,--,--
KK-158,65°C,30 bar,methanol, 24 hrs,61%,87%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0021 mmol,--,100 ,1 ,1.05 ,1 ,--,86 mg ,1 mg ,0.9 mg ,0.1 mg ,--
KK-159,65°C,30 bar,methanol, 24 hrs,20%,50%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Acetic acid ,--,405.30 ,468.30 ,414.29 ,60.05 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0106 mmol,--,100 ,1 ,1.05 ,5 ,--,86 mg ,1 mg ,0.9 mg ,0.6 mg ,--
KK-160,65°C,30 bar,methanol, 24 hrs,30%,60%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Phosphoric acid ,--,405.30 ,468.30 ,414.29 ,97.99 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0105 mmol,--,100 ,1 ,1.05 ,5 ,--,86 mg ,1 mg ,0.9 mg ,1 mg ,--
KK-161,60°C,30 bar,methanol, 48 hrs,00%,00%,Dehydrositagliptin (1) ,[FeH(CO)4]PNP ,tBu-Josiphos ,--,--,405.30 ,707.48 ,542.45 ,--,--,0.1413 mmol,0.0014 mmol,0.0015 mmol,--,--,100 ,1 ,1.05 ,--,--,57 mg ,1 mg ,0.8 mg ,--,--
KK-162,60°C,30 bar,toluene, 48 hrs,00%,00%,Dehydrositagliptin (1) ,[FeH(CO)4]PNP ,HL ,--,--,405.30 ,707.48 ,592.55 ,--,--,0.1413 mmol,0.0014 mmol,0.0015 mmol,--,--,100 ,1 ,1.05 ,--,--,57 mg ,1 mg ,0.9 mg ,--,--
KK-163,60°C,30 bar,methanol, 48 hrs,00%,00%,Dehydrositagliptin (1) ,[FeH(CO)4]PNP ,L4 ,--,--,405.30 ,707.48 ,306.36 ,--,--,0.1413 mmol,0.0014 mmol,0.0014 mmol,--,--,100 ,1 ,1.05 ,--,--,57 mg ,1 mg ,0.5 mg ,--,--
KK-164,60°C,30 bar,methanol, 48 hrs,00%,00%,Dehydrositagliptin (1) ,[FeH(CO)4]PNP ,L3 ,--,--,405.30 ,707.48 ,414.30 ,--,--,0.1413 mmol,0.0014 mmol,0.0015 mmol,--,--,100 ,1 ,1.05 ,--,--,57 mg ,1 mg ,0.6 mg ,--,--
KK-165,60°C,30 bar,methanol, 48 hrs,00%,00%,Dehydrositagliptin (1) ,[FeH(CO)4]PNP ,L1 ,--,--,405.30 ,707.48 ,496.53 ,--,--,0.1413 mmol,0.0014 mmol,0.0015 mmol,--,--,100 ,1 ,1.05 ,--,--,57 mg ,1 mg ,0.8 mg ,--,--
KK-166,60°C,30 bar,methanol, 48 hrs,00%,00%,Dehydrositagliptin (1) ,[FeH(CO)4]PNP ,L2 ,--,--,405.30 ,707.48 ,426.47 ,--,--,0.1413 mmol,0.0014 mmol,0.0015 mmol,--,--,100 ,1 ,1.05 ,--,--,57 mg ,1 mg ,0.6 mg ,--,--
KK-167,60°C,30 bar,methanol, 18 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.4270 mmol,0.0021 mmol,0.0022 mmol,--,--,200 ,1 ,1.05 ,--,--,173 mg ,1 mg ,0.9 mg ,--,--
KK-168,60°C,30 bar,methanol, 18 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.4270 mmol,0.0021 mmol,0.0022 mmol,0.0021 mmol,--,200 ,1 ,1.05 ,1 ,--,173 mg ,1 mg ,0.9 mg ,0.1 mg ,--
KK-169,60°C,30 bar,methanol, 18 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Acetic acid ,--,405.30 ,468.30 ,414.29 ,60.05 ,--,0.4270 mmol,0.0021 mmol,0.0022 mmol,0.0106 mmol,--,200 ,1 ,1.05 ,5 ,--,173 mg ,1 mg ,0.9 mg ,0.6 mg ,--
KK-170,60°C,30 bar,methanol, 18 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Phosphoric acid ,--,405.30 ,468.30 ,414.29 ,97.99 ,--,0.4270 mmol,0.0021 mmol,0.0022 mmol,0.0106 mmol,--,200 ,1 ,1.05 ,5 ,--,173 mg ,1 mg ,0.9 mg ,1.0 mg ,--
KK-173,100°C,30 bar,methanol, 48 hrs,00%,00%,Dehydrositagliptin (1) ,[FeH(CO)4]PNP ,L4 ,--,--,405.30 ,707.48 ,306.36 ,--,--,0.1413 mmol,0.0014 mmol,0.0014 mmol,--,--,100 ,1 ,1.05 ,--,--,57 mg ,1 mg ,0.5 mg ,--,--
KK-174,100°C,30 bar,methanol, 48 hrs,00%,00%,Dehydrositagliptin (1) ,[FeH(CO)4]PNP ,L3 ,--,--,405.30 ,707.48 ,414.30 ,--,--,0.1413 mmol,0.0014 mmol,0.0015 mmol,--,--,100 ,1 ,1.05 ,--,--,57 mg ,1 mg ,0.6 mg ,--,--
KK-176,100°C,30 bar,methanol, 48 hrs,00%,00%,Dehydrositagliptin (1) ,[FeH(CO)4]PNP ,tBu-Josiphos ,--,--,405.30 ,707.48 ,542.45 ,--,--,0.1413 mmol,0.0014 mmol,0.0015 mmol,--,--,100 ,1 ,1.05 ,--,--,57 mg ,1 mg ,0.8 mg ,--,--
KK-189,60°C,30 bar,methanol, 18 hrs,15%,80%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0021 mmol,--,100 ,1 ,1.05 ,1 ,--,86 mg ,1 mg ,0.9 mg ,0.1 mg ,--
KK-190,60°C,30 bar,methanol, 18 hrs,7%,80%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.4200 mmol,0.0021 mmol,0.0022 mmol,0.0021 mmol,--,200 ,1 ,1.05 ,1 ,--,173 mg ,1 mg ,0.9 mg ,0.1 mg ,--
KK-191,70°C,30 bar,methanol, 48 hrs,10%,85%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Acetic acid ,--,405.30 ,468.30 ,414.29 ,60.05 ,--,24770 mmol,0.0247 mmol,0.0260 mmol,0.1238 mmol,--,100 ,1 ,1.05 ,5 ,--,1000 mg ,12 mg ,11 mg ,7 mg ,--
KK-192,70°C,30 bar,methanol, 18 hrs,84%,85%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.1409 mmol,0.0021 mmol,0.0021 mmol,0.0021 mmol,--,66 ,1 ,1 ,1 ,--,57 mg ,1 mg ,1 mg ,0.1 mg ,--
KK-193,70°C,30 bar,methanol, 18 hrs,90%,85%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0021 mmol,0.0042 mmol,0.0021 mmol,--,100 ,1 ,2 ,1 ,--,86 mg ,1 mg ,1.7 mg ,0.1 mg ,--
