COMPOUND_ID	BIOACTIVITY_IN_BRIEF
CMNPD1680	antimicrobial | cytotoxic
CMNPD1681	antimicrobial | cytotoxic
CMNPD1682	antimicrobial | cytotoxic
CMNPD1683	antimicrobial | cytotoxic
CMNPD1712	antifungal
CMNPD1713	antifungal
CMNPD1731	antibacterial agent
CMNPD1745	bronchodilator activity in vitro
CMNPD1746	bronchodilator activity in vitro
CMNPD1747	bronchodilator activity in vitro
CMNPD1748	antibiotic
CMNPD1749	antibiotic
CMNPD1757	toxin
CMNPD1765	inhibit the growth of fungal plant pathogens
CMNPD1766	antimicrobial and cytotoxic
CMNPD1767	antimicrobial and cytotoxic
CMNPD1768	antimicrobial and cytotoxic
CMNPD1793	antimicrobial
CMNPD1794	antimicrobial
CMNPD1812	ichthyotoxic and phytotoxic
CMNPD1813	ichthyotoxic and phytotoxic
CMNPD1814	ichthyotoxic and phytotoxic
CMNPD1815	significant cytotoxicity
CMNPD1823	inhibit the growth of insects
CMNPD1824	ichthyotoxic
CMNPD1851	potent neurophysiological activity in mammals
CMNPD1877	antifungal and molluscicidal activities and toxicity to brine shrimp
CMNPD1900	toxic to the damselfish Pomacentrus coeruleus
CMNPD1901	toxic to the damselfish Pomacentrus coeruleus
CMNPD1917	cytotoxic
CMNPD1921	potent cytotoxin
CMNPD1922	antibacterial and antifungal, cytotoxic
CMNPD1927	ichthyotoxicity
CMNPD1928	ichthyotoxicity
CMNPD1939	cytotoxic
CMNPD1978	inhibit the growth of Bacillus subtilis, Staphylococcus aureus, and Candida albicans
CMNPD1979	inhibit the growth of Bacillus subtilis, Staphylococcus aureus, and Candida albicans
CMNPD1980	inhibit the growth of Bacillus subtilis, Staphylococcus aureus, and Candida albicans
CMNPD1982	inhibit the growth of Bacillus subtilis, Staphylococcus aureus, and Candida albicans
CMNPD1983	toxic to corals
CMNPD1988	antimicrobial
CMNPD1989	antimicrobial
CMNPD2004	inhibit cell division in fertilized starfish eggs
CMNPD2005	inhibit cell division in fertilized starfish eggs
CMNPD2016	antimicrobial
CMNPD2017	antimicrobial
CMNPD2018	antimicrobial
CMNPD2050	cytotoxic
CMNPD2051	cytotoxic
CMNPD2052	cytotoxic
CMNPD2053	cytotoxic
CMNPD2059	cardiotoxic
CMNPD2072	inhibit the growth of diatoms
CMNPD2073	inhibit the growth of diatoms
CMNPD2074	inhibit the growth of diatoms
CMNPD2075	inhibit the growth of diatoms
CMNPD2087	antimicrobial
CMNPD2088	toxin
CMNPD2089	toxin
CMNPD2090	toxin
CMNPD2091	toxin
CMNPD2104	antimicrobial
CMNPD2133	antibacterial
CMNPD2137	toxic
CMNPD2138	cytotoxic
CMNPD2140	cytotoxic
CMNPD2182	ichthyotoxic
CMNPD2183	ichthyotoxic
CMNPD2184	ichthyotoxic
CMNPD2185	ichthyotoxic
CMNPD2186	ichthyotoxic
CMNPD2187	ichthyotoxic
CMNPD2188	toxicity
CMNPD2189	toxicity
CMNPD2191	toxin
CMNPD2195	ichthyotoxic | brine-shrimp toxic
CMNPD2197	cytotoxic | inhibit the growth of P388 lymphocytic leukaemia and HL-60 human promyelocytic leukaemia cell lines | inhibit the synthesis of RNA
CMNPD2198	inhibit the growth of Staphylococcus aureus and Bacillus subtilis | inhibit cell division in fertilized sea-urchin eggs
CMNPD2199	inhibit the growth of Staphylococcus aureus and Bacillus subtilis | inhibit the growth of two marine bacteria | inhibit cell division in fertilized sea-urchin eggs
CMNPD2200	inhibit the growth of Staphylococcus aureus and Bacillus subtilis | inhibit the growth of two marine bacteria | inhibit cell division in fertilized sea-urchin eggs
CMNPD2201	inhibit the growth of Staphylococcus aureus and Bacillus subtilis
CMNPD2218	inhibitor of mitotic cell division
CMNPD2219	cytotoxic
CMNPD2246	moderate antimicrobial
CMNPD2247	moderate antimicrobial
CMNPD2272	cytotoxic
CMNPD2273	cytotoxic
CMNPD2277	anti-tumour
CMNPD2278	anti-tumour | cytotoxin
CMNPD2280	toxin | ichthyotoxic
CMNPD2281	α-adrenoceptor-blocking activity
CMNPD2285	inhibit cell division in the fertilized starfish-egg assay
CMNPD2286	inhibit cell division in the fertilized starfish-egg assay
CMNPD2288	significant activity on the isolated guinea-pig ileum
CMNPD2289	antimicrobial
CMNPD2296	moderate the enzymic reactions of ATPase
CMNPD2297	ATPase inhibitor
CMNPD2298	ATPase inhibitor
CMNPD2299	ATPase inhibitor
CMNPD2302	insecticidal | antifungal
CMNPD2320	mildly cytotoxic
CMNPD2330	antimicrobial
CMNPD2331	antimicrobial
CMNPD2336	antimicrobial
CMNPD2337	antimicrobial
CMNPD2343	inhibit cell division in the fertilized-starfish-egg assay
CMNPD2344	inhibit cell division in the fertilized-starfish-egg assay
CMNPD2345	antispasmodic | inhibit cell division of fertilized starfish eggs
CMNPD2353	ichthyotoxic
CMNPD2354	ichthyotoxic
CMNPD2374	ichthyotoxic
CMNPD2377	inhibit LPS-induced TNF-α production by murine macrophage-like cells in a dose-dependent manner
CMNPD2384	anti-tumour activity against HL-60 cells
CMNPD2398	potent inhibitor of chemically induced inflammation
CMNPD2404	inhibit cell division in fertilized starfish eggs
CMNPD2406	antimicrobial
CMNPD2407	antimicrobial
CMNPD2408	antimicrobial
CMNPD2409	antimicrobial
CMNPD2436	ichthyotoxic | antibacterial | antifungal
CMNPD2437	ichthyotoxic | antibacterial
CMNPD2438	ichthyotoxic | antibacterial | antifungal
CMNPD2439	ichthyotoxic | antibacterial | antifungal
CMNPD2450	toxic
CMNPD2453	mildly cytotoxic
CMNPD2454	mildly cytotoxic
CMNPD2455	mildly cytotoxic
CMNPD2456	mildly cytotoxic
CMNPD2457	mildly cytotoxic
CMNPD2458	mildly cytotoxic
CMNPD2459	mildly cytotoxic
CMNPD2460	mildly cytotoxic
CMNPD2468	cytotoxic
CMNPD2473	potent inhibitor of feeding by fish
CMNPD2479	anti-tumour
CMNPD2480	anti-tumour
CMNPD2481	antifungal
CMNPD2482	antagonist of the ubiquitous calcium-ion-binding protein calmodulin
CMNPD2483	potent antimicrobial | insecticidal | cytotoxic
CMNPD2488	cytotoxic
CMNPD2489	cytotoxic
CMNPD2490	cytotoxic
CMNPD2491	cytotoxic
CMNPD2561	toxin
CMNPD2564	antimicrobial
CMNPD2566	antineoplastic
CMNPD2567	antineoplastic
CMNPD2569	antimicrobial
CMNPD2571	potent tumour promoter
CMNPD2572	plant growth regulator
CMNPD2573	toxic to damselfish | antimicrobial
CMNPD2574	toxic to damselfish | antimicrobial
CMNPD2575	toxic to damselfish | antimicrobial
CMNPD2576	toxic to damselfish | antimicrobial
CMNPD2607	cell division inhibitor
CMNPD2647	significant antiviral
CMNPD2648	significant antiviral
CMNPD2649	significant antiviral
CMNPD2651	cytotoxic
CMNPD2652	cytotoxic
CMNPD2653	cytotoxic
CMNPD2654	cytotoxic
CMNPD2655	cytotoxic
CMNPD2662	neuroexcitatory agent | anthelmintic
CMNPD2687	cytotoxic | inhibit the growth of P388 murine leukaemia and of colon, lung and mammary human tumour cell lines
CMNPD2688	inhibit HIV reverse transcriptase
CMNPD2690	gastric H+/K+-transporting ATPase inhibitor
CMNPD2691	gastric H+/K+-transporting ATPase inhibitor
CMNPD2692	gastric H+/K+-transporting ATPase inhibitor
CMNPD2709	cytotoxic
CMNPD2710	cytotoxic
CMNPD2712	significant antileukaemic
CMNPD2713	significant antileukaemic
CMNPD2714	significant antileukaemic
CMNPD2715	significant antileukaemic
CMNPD2716	significant antileukaemic
CMNPD2717	anti-tumour
CMNPD2719	significant antifungal
CMNPD2722	anti-tumour | antimicrobial.
CMNPD2723	antimicrobial
CMNPD2724	cytotoxic
CMNPD2725	potent antileukaemic agent
CMNPD2726	cytotoxic | antimicrobial
CMNPD2727	cytotoxic | antimicrobial
CMNPD2729	cytotoxic | antimicrobial | anthelmintic
CMNPD2730	cytotoxic | antimicrobial | anthelmintic
CMNPD2731	plant growth regulator
CMNPD2733	antimicrobial
CMNPD2734	antimicrobial
CMNPD2735	antimicrobial
CMNPD2736	antimicrobial
CMNPD2737	antimicrobial
CMNPD2738	mildly toxic to fish
CMNPD2739	mildly toxic to fish
CMNPD2740	mildly toxic to fish
CMNPD2745	antifungal
CMNPD2746	antifungal
CMNPD2747	cytotoxic
CMNPD2748	cytotoxic
CMNPD2750	α-adrenoceptor-blocking agent
CMNPD2754	cytotoxic
CMNPD2758	modest antimicrobial
CMNPD2760	inhibit human immunodeficiency virus (HIV) in vitro
CMNPD2761	antimicrobial
CMNPD2762	antimicrobial
CMNPD2763	antimicrobial
CMNPD2765	antimicrobial
CMNPD2766	antimicrobial
CMNPD2771	toxin
CMNPD2772	toxin
CMNPD2773	toxin
CMNPD2779	inhibit H,K-ATPase | antimicrobial
CMNPD2789	ichthyotoxic | antimalarial
CMNPD2790	ichthyotoxic
CMNPD2793	antibacterial | antifungal
CMNPD2795	antibacterial | antifungal
CMNPD2831	antiviral | cytotoxic
CMNPD2832	antiviral | cytotoxic
CMNPD2833	antiviral | cytotoxic
CMNPD2835	inhibit the growth of Bacillus subtilis, Staphylococcus aureus and Candida albicans
CMNPD2836	inhibit the growth of Bacillus subtilis, Staphylococcus aureus and Candida albicans
CMNPD2837	inhibit the growth of Bacillus subtilis, Staphylococcus aureus and Candida albicans
CMNPD2838	inhibit the growth of Bacillus subtilis, Staphylococcus aureus and Candida albicans
CMNPD2839	inhibit the growth of Bacillus subtilis, Staphylococcus aureus and Candida albicans
CMNPD2840	inhibit the growth of Bacillus subtilis, Staphylococcus aureus and Candida albicans
CMNPD2845	significant antimicrobial
CMNPD2847	significant antimicrobial
CMNPD2853	inhibit cell division of fertilized starfish eggs
CMNPD2856	antiinflammatory
CMNPD2857	antiinflammatory
CMNPD2858	inhibitor of the enzyme phospholipase A2
CMNPD2865	inhibition of aggregation of blood platelets | antimicrobial
CMNPD2866	inhibition of aggregation of blood platelets | antimicrobial
CMNPD2867	inhibition of aggregation of blood platelets | antimicrobial
CMNPD2880	inhibit the activity of Na+/K+-transporting ATPase
CMNPD2883	cytotoxin
CMNPD2940	inhibit larval settlement in the barnacle
CMNPD2954	antitumour | antifungal
CMNPD2955	anti-inflammatory | analgesicory
CMNPD2956	anti-inflammatory | analgesicory
CMNPD2957	anti-inflammatory | analgesicory
CMNPD2958	anti-inflammatory | analgesicory
CMNPD2959	anti-inflammatory | analgesicory
CMNPD2960	anti-inflammatory | analgesicory
CMNPD2961	anti-inflammatory | analgesicory
CMNPD2962	anti-inflammatory | analgesicory
CMNPD2963	inhibit the development of fertilized sea-urchin eggs
CMNPD2964	inhibit the development of fertilized sea-urchin eggs
CMNPD2965	antimicrobial
CMNPD2967	toxic to larvae of tobacco hornworm
CMNPD2973	inhibit larval settlement in the barnacle
CMNPD2974	inhibit larval settlement in the barnacle
CMNPD2976	ichthyotoxic
CMNPD2977	ichthyotoxic | cytotoxic
CMNPD2980	antiviral
CMNPD2982	antioxidant
CMNPD3001	lyso-platelet-activating factor, inhibit ascidian, barnacle, bryozoan and algal settling
CMNPD3007	inhibit the growth of 3T3 and CEF cell lines
CMNPD3020	antineoplastic
CMNPD3021	antineoplastic
CMNPD3022	antineoplastic
CMNPD3023	antineoplastic
CMNPD3024	antineoplastic
CMNPD3025	toxin
CMNPD3028	cytotoxic
CMNPD3029	cytotoxin
CMNPD3057	cytotoxic
CMNPD3058	antineoplastic
CMNPD3063	antineoplastic | calmodulinantagonistic
CMNPD3064	antineoplastic | calmodulinantagonistic
CMNPD3065	anti-tumour
CMNPD3066	anti-tumour | antimicrobial | cytotoxic
CMNPD3067	cytotoxic
CMNPD3068	cytotoxic | antimicrobial
CMNPD3078	cytotoxic
CMNPD3086	cytotoxic | immunosuppressive
CMNPD3088	antineoplastic
CMNPD3135	activity against P388 in vitro
CMNPD3137	juvenile hormone
CMNPD3139	boxfish toxin
CMNPD3143	toxin
CMNPD3144	antifungal
CMNPD3145	potent antineoplastic
CMNPD3146	activator of sarcoplasmic reticulum Ca2+-ATPase
CMNPD3147	cytotoxic
CMNPD3148	cytotoxic
CMNPD3150	fish-feeding inhibitor
CMNPD3151	fish-feeding inhibitor
CMNPD3152	spermatozoid-releasing and attracting factor
CMNPD3160	cytotoxin
CMNPD3161	cytotoxin | inhibit microtubule polymerization
CMNPD3166	antitumour
CMNPD3167	antitumour
CMNPD3168	antitumour
CMNPD3169	antitumour
CMNPD3170	antimicrobial
CMNPD3178	inhibit feeding by young abalone
CMNPD3185	inhibit both 5-lipoxygenase and Na+/K+ATPase
CMNPD3186	potent inhibitor of platelet aggregation
CMNPD3241	active against the intestinal protozoan Giardia
CMNPD3244	cytotoxic
CMNPD3245	cytotoxin
CMNPD3246	cytotoxin
CMNPD3247	cytotoxin
CMNPD3248	cytotoxic
CMNPD3249	cytotoxic
CMNPD3255	antiviral
CMNPD3262	anthelmintic
CMNPD3263	anthelmintic
CMNPD3264	anthelmintic
CMNPD3265	antifungal
CMNPD3269	cytotoxic
CMNPD3271	cytotoxic
CMNPD3272	cytotoxic
CMNPD3273	cytotoxic
CMNPD3277	in vitro activity against P388 cells and against human lung, colonand mammary cancer cell lines
CMNPD3278	antiviral | antitumour
CMNPD3282	strong contractile activity in the guinea-pig ileum assay
CMNPD3283	strong contractile activity in the guinea-pig ileum assay
CMNPD3284	strong contractile activity in the guinea-pig ileum assay
CMNPD3286	antimicrobial
CMNPD3287	cytotoxic
CMNPD3288	antimicrobial | cytotoxic
CMNPD3290	antitumour | antiviral | immunomodulatory properties in vitro and in vivo antitumour activity
CMNPD3291	potent antineoplastic
CMNPD3292	potent antineoplastic
CMNPD3293	potent antineoplastic
CMNPD3294	cytotoxic
CMNPD3295	cytotoxic
CMNPD3296	cytotoxic
CMNPD3297	cytotoxic | antitumor
CMNPD3298	cytotoxic
CMNPD3299	cytotoxic | antimicrobial
CMNPD3300	in vitro activity against L1210 leukaemia cells | potent coronary vasodilating activity
CMNPD3301	in vitro activity against L1210 leukaemia cells | potent coronary vasodilating activity
CMNPD3306	mildly cytotoxic
CMNPD3308	H, K-ATPase inhibitor
CMNPD3316	inhibit H,K-ATPase
CMNPD3352	antiviral
CMNPD3353	antiviral
CMNPD3354	cytotoxic
CMNPD3355	cytotoxic
CMNPD3368	antibacterial
CMNPD3371	cytotoxic
CMNPD3372	antiinflammatory
CMNPD3374	aldose reductase inhibitor
CMNPD3375	acetyl cholinesterase inhibitor
CMNPD3376	antimicrobial | anti-inflammatory
CMNPD3377	antimicrobial | anti-inflammatory
CMNPD3378	antimicrobial | anti-inflammatory
CMNPD3379	antimicrobial | anti-inflammatory
CMNPD3380	antimicrobial | anti-inflammatory
CMNPD3381	antimicrobial | anti-inflammatory
CMNPD3387	ichthyotoxic | cytotoxic
CMNPD3388	ichthyotoxic | cytotoxic
CMNPD3389	ichthyotoxic | cytotoxic
CMNPD3397	potent antileukemic
CMNPD3399	barnacle hatching factor
CMNPD3401	antiproliferative
CMNPD3418	potent antitumour-promoter
CMNPD3419	cytotoxic
CMNPD3420	cytotoxic
CMNPD3428	cytotoxic
CMNPD3429	cytotoxic
CMNPD3430	cytotoxic
CMNPD3432	cytotoxic
CMNPD3433	cytotoxic
CMNPD3435	inhibit insect growth in the silkworm Bombyx mori
CMNPD3436	inhibit insect growth in the silkworm Bombyx mori
CMNPD3437	inhibit insect growth in the silkworm Bombyx mori
CMNPD3448	cytotoxic
CMNPD3449	cytotoxic
CMNPD3453	antiviral | anti-inflammatory
CMNPD3456	antiviral | anti-inflammatory
CMNPD3457	antiviral | anti-inflammatory
CMNPD3458	anti-inflammatory
CMNPD3463	cytotoxic | antiviral
CMNPD3514	inhibitor of eukaryotic DNA polymerase α
CMNPD3515	ichthyotoxic
CMNPD3516	ichthyotoxic
CMNPD3525	ichthyotoxic
CMNPD3526	ichthyotoxic
CMNPD3534	cytotoxic
CMNPD3535	cytotoxic
CMNPD3536	cytotoxic
CMNPD3537	cytotoxic
CMNPD3538	cytotoxin
CMNPD3539	cytotoxin
CMNPD3540	cytotoxin
CMNPD3541	cytotoxic
CMNPD3542	cytotoxic
CMNPD3543	cytotoxic
CMNPD3547	cytotoxic | antiviraland immunosuppressive agent
CMNPD3548	cytotoxic | antiviraland immunosuppressive agent
CMNPD3549	cytotoxic | antiviraland immunosuppressive agent
CMNPD3550	cytotoxic | antiviraland immunosuppressive agent
CMNPD3551	cytotoxic | antiviraland immunosuppressive agent
CMNPD3553	antiviral
CMNPD3561	cytotoxic
CMNPD3562	cytotoxic
CMNPD3563	potent antineoplastic
CMNPD3564	potent antineoplastic
CMNPD3565	potent antineoplastic
CMNPD3601	inhibit growth of the pathogenic fungus Lagenidium callinectes
CMNPD3602	significant antiviral
CMNPD3623	mod. inhib. NO prod.
CMNPD3628	toxin
CMNPD3636	potent sarcoplasmic reticulum Ca-releasing activity
CMNPD3638	cytotoxic | phytotoxic
CMNPD3639	cytotoxic | phytotoxic
CMNPD3640	cytotoxic | phytotoxic
CMNPD3641	inhibit the activity of 3-hydroxy-3-methylglutaryl coenzyme A (HMG-CoA) reductase
CMNPD3642	antimutagenic
CMNPD3643	antimutagenic
CMNPD3647	feeding-inhibition
CMNPD3648	feeding-inhibition
CMNPD3650	feeding deterrent activity against the abalone Haliotis discus hannai
CMNPD3651	feeding deterrent activity against the abalone Haliotis discus hannai
CMNPD3655	cytotoxic
CMNPD3666	antiplasmin inhibitor
CMNPD3667	antiplasmin inhibitor
CMNPD3668	antiplasmin inhibitor
CMNPD3673	antimicrobial
CMNPD3696	insecticidal
CMNPD3697	insecticidal
CMNPD3714	cytotoxicity
CMNPD3715	cytotoxicity
CMNPD3716	cytotoxicity
CMNPD3737	antibacterial
CMNPD3740	antifungal
CMNPD3741	antifungal
CMNPD3742	antimicrobial
CMNPD3747	potent sarcoplasmic reticulum Ca2+-ATPase activator
CMNPD3748	cytotoxic in the brine shrimp Artemia salina and fertilized sea-urchin egg assays
CMNPD3749	cytotoxic in the brine shrimp Artemia salina and fertilized sea-urchin egg assays
CMNPD3750	cytotoxic in the brine shrimp Artemia salina and fertilized sea-urchin egg assays
